MUNICIPIO;PAYLOAD_4G;THROUGHPUT_4G;LS_PAYLOAD_4G;LI_PAYLOAD_4G;LS_THROUGHPUT_4G;LI_THROUGHPUT_4G;FIESTA;M_SITIO;M_FECHA_DIA;PAYLOAD_4G_MA;THROUGHPUT_4G_MA;OBJETIVOCOBERTURA_Mixta Rural-Carretera;OBJETIVOCOBERTURA_Rural;OBJETIVOCOBERTURA_Urbana;TIPO_Calidad;TIPO_Cobertura;TIPO_Reubicacion;TIPO_Trafico
Girardot;648.99;12423.75;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-01;280.677;10748.389;False;False;True;False;False;False;True
Girardot;747.42;12170.31;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-02;307.48;10669.11;False;False;True;False;False;False;True
Girardot;698.03;12568.4;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-03;287.634;10619.68;False;False;True;False;False;False;True
Girardot;650.74;12235.44;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-04;254.451;10498.124;False;False;True;False;False;False;True
Girardot;610.65;11958.04;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-05;243.532;10562.914;False;False;True;False;False;False;True
Girardot;580.37;11673.36;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-06;258.402;10859.422;False;False;True;False;False;False;True
Girardot;572.6;11766.73;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-07;264.52;10740.248;False;False;True;False;False;False;True
Girardot;589.97;11693.97;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-08;262.795;10676.655;False;False;True;False;False;False;True
Girardot;634.73;12180.99;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-09;263.40700000000004;10897.816;False;False;True;False;False;False;True
Girardot;564.78;12319.51;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-10;258.972;10641.313;False;False;True;False;False;False;True
Girardot;551.92;12871.14;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-11;249.6;11053.554999999998;False;False;True;False;False;False;True
Girardot;571.68;12097.58;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-12;232.387;10850.142;False;False;True;False;False;False;True
Girardot;586.84;12109.06;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-13;247.687;10910.715;False;False;True;False;False;False;True
Girardot;579.36;11962.85;704,01;475,73;12829,08;11235,76;0;82a5ab45-b1b8-40c8-ba0f-77dd241fb872;2021-01-14;240.916;10985.471;False;False;True;False;False;False;True
