M_SITIO;M_FECHA_DIA;FIESTA;PAYLOAD_4G;THROUGHPUT_4G;OBJETIVOCOBERTURA_Mixta Rural-Carretera;OBJETIVOCOBERTURA_Mixta Urbana-Carretera;OBJETIVOCOBERTURA_Rural;OBJETIVOCOBERTURA_Urbana;TIPO_Calidad;TIPO_Cobertura;TIPO_Reubicacion;TIPO_Trafico
d5a15865-7b2e-4261-af83-2117ec105843;1/01/2021;0;393.57;12173.83;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;2/01/2021;0;314.84;11059.94;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;3/01/2021;0;341.93;11338.95;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;4/01/2021;0;375.91;11377.4;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;5/01/2021;0;368.37;11183.67;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;6/01/2021;0;353.49;11045.91;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;7/01/2021;0;396.42;11360.89;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;8/01/2021;0;419.65;11305.18;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;9/01/2021;0;418.46;11347.37;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;10/01/2021;0;409.35;11379.88;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;11/01/2021;0;417.51;11654.01;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;12/01/2021;0;386.85;10889.4;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;13/01/2021;0;398.8;11293.55;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;14/01/2021;0;393.99;10809.91;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;15/01/2021;0;416.26;11180.97;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;16/01/2021;0;448.57;11242.38;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;17/01/2021;0;517.17;11433.3;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;18/01/2021;0;407.67;10936.09;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;19/01/2021;0;434.05;11113.26;False;False;True;False;False;False;False;True
