"M_FECHA_DIA","PAYLOAD_4G","FIESTA","PAYLOAD_4G_smoo_mean","PAYLOAD_4G_smoothed","year"
2021-01-01,648.99,0,648.99,648.99,2021
2021-01-02,747.42,0,747.42,747.42,2021
2021-01-03,698.03,0,698.03,698.03,2021
2021-01-04,650.74,0,650.74,650.74,2021
2021-01-05,610.65,0,610.65,610.65,2021
2021-01-06,580.37,0,580.37,580.37,2021
2021-01-07,572.6,0,572.6,572.6,2021
2021-01-08,589.97,0,589.97,589.97,2021
2021-01-09,634.73,0,634.73,634.73,2021
2021-01-10,564.78,0,564.78,564.78,2021
2021-01-11,551.92,0,551.92,551.92,2021
2021-01-12,571.68,0,571.68,571.68,2021
2021-01-13,586.84,0,586.84,586.84,2021
2021-01-14,579.36,0,579.36,579.36,2021
2021-01-15,613.96,0,613.96,613.96,2021
2021-01-16,481.22,0,481.22,481.22,2021
2021-01-17,497.94,0,497.94,497.94,2021
2021-01-18,535.28,0,535.28,535.28,2021
2021-01-19,553.87,0,553.87,553.87,2021
2021-01-20,571.67,0,571.67,571.67,2021
2021-01-21,571.92,0,571.92,571.92,2021
2021-01-22,636.73,0,636.73,636.73,2021
2021-01-23,525.86,0,525.86,525.86,2021
2021-01-24,505.68,0,505.68,505.68,2021
2021-01-25,561.81,0,561.81,561.81,2021
2021-01-26,588.54,0,588.54,588.54,2021
2021-01-27,592.66,0,592.66,592.66,2021
2021-01-28,594.97,0,594.97,594.97,2021
2021-01-29,601.25,0,601.25,601.25,2021
2021-01-30,682.05,0,682.05,682.05,2021
2021-01-31,582.59,0,582.59,582.59,2021
2021-02-01,619.62,0,619.62,619.62,2021
2021-02-02,621.43,0,621.43,621.43,2021
2021-02-03,605.19,0,605.19,605.19,2021
2021-02-04,644.38,0,644.38,644.38,2021
2021-02-05,631.48,0,631.48,631.48,2021
2021-02-06,675.53,0,675.53,675.53,2021
2021-02-07,606.1,0,606.1,606.1,2021
2021-02-08,596.46,0,596.46,596.46,2021
2021-02-09,603.48,0,603.48,603.48,2021
2021-02-10,588.05,0,588.05,588.05,2021
2021-02-11,579.24,0,579.24,579.24,2021
